Nodo_1,Nodo_2,Nodo_3,Nodo_4,Nodo_5,Nodo_6,Nodo_7,Nodo_8,Nodo_9,Nodo_10,Nodo_11,Nodo_12,Nodo_13,Nodo_14,Nodo_15,Nodo_16,Nodo_17,Nodo_18,Nodo_19,Nodo_20,Nodo_21,Nodo_22,Nodo_23,Nodo_24,Nodo_25,Nodo_26,Nodo_27,Nodo_28,Nodo_29,Nodo_30,Nodo_31,Nodo_32,Nodo_33,Nodo_34,Nodo_35,Nodo_36,Nodo_37,Nodo_38,Nodo_39,Nodo_40,Nodo_41,Nodo_42,Nodo_43,Nodo_44,Nodo_45,Nodo_46,Nodo_47,Nodo_48,Nodo_49,Nodo_50,Nodo_51,Nodo_52,Nodo_53,Nodo_54,Nodo_55,Nodo_56,Nodo_57,Nodo_58,Nodo_59,Nodo_60,Nodo_61,Nodo_62,Nodo_63,Nodo_64,Nodo_65,Nodo_66,Nodo_67,Nodo_68,Nodo_69,Nodo_70,Nodo_71,Nodo_72,Nodo_73,Nodo_74,Nodo_75,Nodo_76,Nodo_77,Nodo_78,Nodo_79,Nodo_80,Nodo_81,Nodo_82,Nodo_83,Nodo_84,Nodo_85,Nodo_86,Nodo_87,Nodo_88,Nodo_89,Nodo_90,Nodo_91,Nodo_92,Nodo_93,Nodo_94,Nodo_95,Nodo_96,Nodo_97,Nodo_98,Nodo_99,Nodo_100
0,3.304113502,2.41552821,2.3983302,1.834218678,2.814095885,0.564165333,0.101598777,1.871826755,3.37972955,3.212445697,0.735423034,1.867248401,2.846535688,1.037568202,2.991035798,1.683687256,2.132152031,2.973307298,2.412518443,1.664058672,1.842669786,0.991793568,0.616742736,2.791010062,2.726752333,2.263342664,2.35997959,1.707121951,2.160339452,2.304640447,1.553003334,3.05365057,0.52375472,1.369762416,2.583716867,0.530870632,3.433502173,1.512832756,0.479074384,0.800663039,2.696140953,2.866587106,0.631225682,2.265917868,1.826969618,2.383310156,0.059755393,2.096489322,1.853957727,1.787900104,2.093597817,1.796970521,1.948239497,0.41946898,2.148182671,2.381041015,0.882710653,0.598771272,0.963789213,1.929367561,2.401345588,1.12461618,0.627990463,0.996945624,1.39621773,2.405065833,1.692399755,2.45262381,0.588905559,3.478375551,3.028403248,2.003967314,0.911980863,1.216516221,1.80823399,0.935099696,2.213114443,2.963927674,1.194762204,2.428838504,1.348878841,0.698195896,2.69822594,1.876466138,3.183381169,1.174144775,1.798702744,2.514293748,1.757972457,2.508466356,2.38895647,2.057714963,2.266700076,1.309832063,2.403318825,2.871905139,2.039353821,0.560307919,1.119710843
3.304113502,0,2.064546398,1.77481634,2.927642727,1.59218307,2.744563324,3.30753796,1.877547636,0.26062045,0.104737483,3.043413327,2.51665097,0.542121083,2.811556017,0.552323221,1.924830995,1.923049392,1.109681322,1.273974809,2.818933296,1.465718988,2.932004612,2.748145964,1.309759948,1.513942092,2.019582223,1.13837591,1.695180686,1.149326892,1.140591921,1.831138675,0.678383222,3.385716722,1.995348715,2.178635329,3.000398308,1.022656918,2.15670037,3.744042021,2.729467001,2.444515755,0.946171923,3.160784984,1.413550608,1.574334884,1.956938692,3.263725639,1.436665556,1.541697935,2.495555965,1.36904571,1.874795774,1.459596813,3.710167957,1.191651725,0.946011725,2.745282052,3.390986731,2.94224459,2.099682769,1.13161847,2.791369915,2.914605985,3.180117016,1.949881167,2.348849525,2.415810209,2.354625641,2.715220876,0.69177819,1.19383677,1.393872772,3.183459312,2.906036447,2.877316917,2.805138029,1.565368934,0.374568326,2.898657626,2.945110817,2.420187388,2.630851978,0.625219792,1.810328076,1.143807142,2.23590048,2.4658362,2.681695502,1.617144127,0.810904232,2.340254893,2.386373797,1.365177621,2.00859268,2.917000342,1.572923494,2.282154706,2.906401135,2.946598239
2.41552821,2.064546398,0,2.760271309,1.032147068,0.59598271,2.057286743,2.355110295,0.663511934,1.938858125,2.040405759,2.663356666,2.992409318,1.554049265,2.660468184,2.211868684,2.258036816,0.348718723,1.048124094,0.83704685,1.02492787,1.588495374,1.533487127,1.82785795,0.799617278,0.60309511,0.165906816,1.052785931,1.122666767,1.617855681,1.995301755,1.907040131,1.424679981,2.166479186,1.90065183,0.204938393,2.470903555,1.469054119,0.935382536,2.883372353,2.375659322,3.467837087,1.135806452,2.697389505,2.298551928,1.107024775,2.899930664,2.356458184,2.120424206,1.117084971,0.717778078,1.008953518,2.321815248,1.916864281,2.806193833,1.754621208,1.414159079,2.469038544,2.849458433,1.558714659,2.677417381,2.127799042,1.363230864,1.797367119,1.70729317,1.8392191,3.219017705,0.755623227,3.253603058,1.991532361,1.727877368,1.020661765,1.895192938,1.760580126,1.366399513,0.998268324,2.576611595,0.619822734,1.727275889,1.375842084,0.88285668,1.067088224,2.062506928,1.829961258,2.330552191,1.169959953,1.355862061,2.902540451,0.620376919,1.855668968,1.751972751,3.202241337,3.017946497,2.244316962,1.756313193,0.856134971,0.650441092,0.413144315,2.380673719,2.839676577
2.3983302,1.77481634,2.760271309,0,3.103345046,2.639690309,1.900868502,2.454430463,2.174300992,2.003875739,1.674580103,1.814100135,0.840109894,1.713147141,1.487233479,1.227755474,0.745099781,2.439318211,2.366591916,2.033448034,2.918951099,1.185995898,2.614186117,2.102930031,2.395531232,2.517551119,2.621130916,1.803505561,1.702115277,1.165885146,0.823047064,1.036599447,2.082842405,2.73889596,1.17822758,2.955326615,1.907239752,2.586252305,2.168811755,2.693325026,1.608199429,0.738741162,2.148018759,1.957469805,0.476442529,1.675009409,0.183293585,2.387189513,0.639871166,1.657972952,2.720040162,1.756974684,0.628090893,0.850949243,2.702477914,1.022447771,1.464683688,1.551281739,2.179935811,2.60664037,0.507614961,0.732040457,2.563205753,2.35731176,2.834361693,1.19869736,0.57771399,2.584250641,0.589479993,1.918438616,2.368019092,2.470631397,0.865900602,2.789911185,2.727057836,3.049311744,1.545590136,2.15048568,1.672233839,2.707348142,3.442251982,2.336495199,1.746622921,1.287693085,0.561878189,2.532440593,1.900634054,0.827133329,3.296287229,0.963010307,1.206031955,0.567751854,0.655339228,0.53611645,1.329347391,3.40828724,2.662135316,2.69776638,1.848633071,1.540732006
1.834218678,2.927642727,1.032147068,3.103345046,0,1.624215188,1.710728401,1.746196699,1.072968607,2.854193806,2.880013973,2.335368288,3.051384641,2.386933331,2.463042392,2.931322851,2.431502532,1.018465518,2.03838973,1.657851268,0.198578183,1.961803218,0.843968801,1.406471981,1.788199099,1.61201931,0.980736208,1.798044489,1.449101746,2.143890945,2.499879334,2.084851866,2.358818315,1.421323726,1.987266243,1.083109266,2.100254904,2.486031493,0.939421544,2.235590499,2.136258254,3.713908646,2.075225174,2.313653829,2.711844358,1.523135867,3.196971267,1.776511066,2.505710636,1.551647943,0.436458782,1.61282798,2.530472881,2.281308677,2.144756802,2.245607839,2.088404541,2.248994415,2.390745385,0.871595905,2.852448523,2.64022281,0.738048501,1.236828802,0.885756932,1.945742337,3.428229908,0.544578793,3.471049318,1.644640569,2.712425735,2.029119371,2.289783287,0.964723328,0.618688235,0.054978685,2.356003083,1.363410596,2.559857495,0.641238622,0.601041254,0.780462837,1.79248147,2.537455421,2.571432835,2.185915023,1.242007892,2.95986458,0.760671427,2.142071301,2.401893201,3.410229895,3.147999317,2.671633581,1.821556313,0.57901584,1.680496625,0.669511972,2.036062838,2.626973347
2.814095885,1.59218307,0.59598271,2.639690309,1.624215188,0,2.377118816,2.768306757,0.942492302,1.425166613,1.58970569,2.932190934,3.034199506,1.145089438,2.86336087,1.852798195,2.283024239,0.709916925,0.49577159,0.613702024,1.599543434,1.56814689,2.028800569,2.201037454,0.288290601,0.123401064,0.656785283,0.837261077,1.246399091,1.478000114,1.822819712,1.967311711,0.917400831,2.642349853,2.016081651,0.627869844,2.77166155,0.876260871,1.304124054,3.292246278,2.619083756,3.374865761,0.650032908,2.991559884,2.163278839,1.172491374,2.801165984,2.75743572,2.020856386,1.165428466,1.27366363,0.953982588,2.319295913,1.854303335,3.223683661,1.621602259,1.182192377,2.696057387,3.172287976,2.051199145,2.668626,1.936428538,1.857019522,2.227446086,2.230025178,1.951036665,3.159340264,1.274971366,3.187285685,2.317356845,1.157793791,0.442629434,1.814270847,2.272817736,1.891886692,1.587756143,2.796742682,0.636393717,1.302854117,1.897247088,1.438779528,1.509757954,2.346523618,1.510882427,2.306986798,0.579915864,1.663946779,2.950240568,1.147110284,1.853611247,1.491089996,3.144089454,3.016290518,2.10389132,1.903374044,1.41645731,0.060299173,0.974154203,2.674914469,3.040222887
0.564165333,2.744563324,2.057286743,1.900868502,1.710728401,2.377118816,0,0.586538583,1.445874581,2.827884195,2.651768594,0.632976093,1.500295017,2.297984595,0.769472811,2.42714835,1.163742551,1.738715994,2.479315728,1.917303008,1.516665132,1.280566022,0.924132325,0.308930406,2.31710587,2.278622546,1.894968135,1.838946159,1.19478213,1.598282533,1.743037795,0.995223889,2.523390215,0.840949407,0.811805486,2.244705119,0.416245448,2.927132718,1.122041267,1.004099841,0.443185548,2.293245788,2.354585969,0.643004276,1.722418731,1.308354979,1.91051015,0.5310442,1.544769663,1.332434261,1.533710032,1.578249958,1.28037554,1.387787075,0.965803528,1.584040887,1.830192715,0.557487843,0.797605861,0.903227097,1.467850679,1.843038784,0.978587152,0.543626905,1.064504642,0.834437931,1.995396173,1.41117942,2.042861165,0.068344967,2.947031827,2.543219577,1.442248799,0.995756337,1.125625541,1.671045918,0.657727283,1.751470009,2.409401447,1.101377128,2.260834082,1.04100863,0.15429955,2.135562731,1.356215974,2.692276015,0.715481969,1.418231675,2.280110211,1.196485482,1.945708331,1.978103091,1.659722178,1.718818388,0.745667816,2.230837206,2.43207128,1.728029969,0.334093035,0.922399986
0.101598777,3.30753796,2.355110295,2.454430463,1.746196699,2.768306757,0.586538583,0,1.827616924,3.375536715,3.217491986,0.828070678,1.946397309,2.840579718,1.121778973,3.009215288,1.731402642,2.079587987,2.942809368,2.383943239,1.579330961,1.851914033,0.906545745,0.585995498,2.754832959,2.683911396,2.205384926,2.340919335,1.687702352,2.168863648,2.328710761,1.581715663,3.037060727,0.422384231,1.398270911,2.519403971,0.614393238,3.406432504,1.464500332,0.528411913,0.869601756,2.772232367,2.842650236,0.728776627,2.304676623,1.809148809,2.445647183,0.071780353,2.13016999,1.837128853,1.714898431,2.073258012,1.846092776,1.974052641,0.45543544,2.163409546,2.377571219,0.957897367,0.700127365,0.878363689,1.993102049,2.429564142,1.04556567,0.559093286,0.900212685,1.420485084,2.479541866,1.623897059,2.527183347,0.600038744,3.461685132,2.994994461,2.027969849,0.815127793,1.130150352,1.721639224,1.016727787,2.175581564,2.962443434,1.108917794,2.342848531,1.288182342,0.730641411,2.707232198,1.924541888,3.151518787,1.145394911,1.87575191,2.435329802,1.782444502,2.517889722,2.463207749,2.133131955,2.302956564,1.327177098,2.317852258,2.826638285,1.972986644,0.633157759,1.211056727
1.871826755,1.877547636,0.663511934,2.174300992,1.072968607,0.942492302,1.445874581,1.827616924,0,1.834546647,1.822065923,2.027713925,2.338030151,1.335743975,2.00396796,1.858832511,1.614574056,0.315793888,1.159411661,0.649336619,0.945056365,0.988432039,1.149182452,1.258616419,0.943758359,0.856439971,0.499493399,0.739186645,0.480447075,1.102197426,1.474891926,1.258320103,1.374147657,1.728657314,1.239993013,0.867579456,1.850125324,1.634649343,0.369022743,2.3502539,1.728834041,2.856399539,1.116896997,2.074045853,1.735304976,0.501660198,2.299024655,1.815375298,1.540886953,0.52257576,0.636943058,0.54004476,1.687078711,1.323536175,2.282712123,1.220477159,1.015588485,1.817626224,2.243443311,1.167344007,2.039873266,1.614642692,0.98469067,1.294312615,1.378671874,1.179569269,2.595200127,0.540699217,2.632266961,1.383785717,1.773347082,1.193514488,1.314345214,1.404519457,1.064954343,1.019726438,1.923808878,0.373829543,1.504630045,1.062725493,1.276844463,0.608445503,1.430479633,1.464680529,1.704216441,1.355642623,0.730479996,2.247385704,1.123756019,1.232401648,1.333439121,2.577955505,2.374728042,1.686785474,1.093285542,1.243207114,1.000101047,0.526332926,1.755878212,2.183262951
3.37972955,0.26062045,1.938858125,2.003875739,2.854193806,1.425166613,2.827884195,3.375536715,1.834546647,0,0.340978951,3.170889508,2.718335344,0.536854468,2.957738859,0.797665563,2.091352294,1.837483121,0.930760288,1.19945546,2.760654324,1.565923119,2.933263934,2.803577311,1.154626473,1.361005356,1.912956798,1.108022343,1.718993383,1.259588097,1.318140581,1.960192894,0.514981938,3.422088729,2.113794742,2.033827329,3.110057914,0.775785141,2.142587623,3.831779775,2.850867679,2.688163647,0.803073082,3.281945222,1.617483733,1.595330635,2.186934732,3.336144249,1.616493998,1.563882065,2.429816045,1.362335544,2.052028927,1.609885805,3.792163742,1.32673676,0.998691196,2.875865611,3.508568659,2.94579807,2.299891719,1.329827234,2.784191173,2.951506295,3.177892357,2.063282258,2.580669434,2.362600883,2.588682734,2.793141775,0.433340816,1.002800229,1.544136337,3.188182155,2.887420377,2.805991891,2.942763663,1.494968531,0.423001263,2.882145816,2.821475903,2.406749676,2.723987406,0.780885956,1.992807214,0.929514953,2.270935824,2.662637589,2.546770378,1.750922331,0.948722774,2.57131157,2.599259735,1.565380556,2.107941305,2.794988673,1.398562569,2.194470975,3.013806473,3.100930855
